conceptid,Preflabel,Altlabels,ParentConceptid,ConceptType,Provider 
IDENTIFIER:1,URI,Uniform Resource Identifier,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
IDENTIFIER:2,URL,Uniform Resource Locator,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
IDENTIFIER:3,ARK,Archival Resource Key,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
IDENTIFIER:4,DOI,Digital Object Identifier,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
IDENTIFIER:5,HANDLE,HANDLE System,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
IDENTIFIER:6,PURL,Persistent Uniform Resource Locator,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
IDENTIFIER:7,POI,PURL-based Object Identifier,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
IDENTIFIER:8,URN,Uniform Resource Name,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
IDENTIFIER:9,ISBN,International Standard Book Number,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
IDENTIFIER:10,ISSN,International Standard Serial Number,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
IDENTIFIER:11,SICI,Serial Item and Contribution Identifier,IDENTIFIER TYPE AUTHORITY DOCUMENT.csv,Index,DC
