"conceptid","PrefLabel","AltLabels","ParentConceptid","ConceptType","Provider"
"COMPONENT_TYPE:1","Chimney","Chimney","COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv","Index","SurveyLA"
"COMPONENT_TYPE:2","Chimney-Interior","Interior","COMPONENT_TYPE:1","Index","SurveyLA"
"COMPONENT_TYPE:3","Chimney-Exterior","Exterior","COMPONENT_TYPE:1","Index","SurveyLA"
"COMPONENT_TYPE:4","Chimney-Brick","Brick","COMPONENT_TYPE:1","Index","SurveyLA"
"COMPONENT_TYPE:5","Chimney-Concrete block","Concrete block","COMPONENT_TYPE:1","Index","SurveyLA"
"COMPONENT_TYPE:6","Chimney-Pipe","Pipe","COMPONENT_TYPE:1","Index","SurveyLA"
"COMPONENT_TYPE:7","Chimney-Stone","Stone","COMPONENT_TYPE:1","Index","SurveyLA"
"COMPONENT_TYPE:8","Chimney-Stucco","Stucco","COMPONENT_TYPE:1","Index","SurveyLA"
"COMPONENT_TYPE:9","Chimney-Wood","Wood","COMPONENT_TYPE:1","Index","SurveyLA"
"COMPONENT_TYPE:10","Chimney-Unknown","Unknown","COMPONENT_TYPE:1","Index","SurveyLA"
"COMPONENT_TYPE:11","Cladding","Cladding","COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv","Index","SurveyLA"
"COMPONENT_TYPE:12","Details","Details","COMPONENT_TYPE_AUTHORITY_DOCUMENT.csv","Index","SurveyLA"
"COMPONENT_TYPE:13","Details-Applied decoration","Applied decoration","COMPONENT_TYPE:12","Index","SurveyLA"
"COMPONENT_TYPE:14","Details-Balconette","Balconette","COMPONENT_TYPE:12","Index","SurveyLA"
"COMPONENT_TYPE:15","Details-Belt course","Belt course","COMPONENT_TYPE:12","Index","SurveyLA"
"COMPONENT_TYPE:16","Details-Bris soleil","Bris soleil","COMPONENT_TYPE:12","Index","SurveyLA"
"COMPONENT_TYPE:17","Details-Buttresses","Buttresses","COMPONENT_TYPE:12","Index","SurveyLA"
"COMPONENT_TYPE:18","Details-Dingbats","Dingbats","COMPONENT_TYPE:12","Index","SurveyLA"
